STATE/UT,State_drop,Area (in square kilometers)
A & N ISLANDS,A & N ISLANDS,"8,249"
ANDHRA PRADESH,Andhra Pradesh,"160,205"
ARUNACHAL PRADESH,Arunachal Pradesh,"83,743"
ASSAM,Assam,"78,438"
BIHAR,Bihar,"94,163"
CHANDIGARH,Chandigarh,114
CHHATTISGARH,Chhattisgarh,"135,192"
D & N HAVELI,D & N HAVELI,491
DELHI,Delhi,"1,483"
GOA,Goa,"3,702"
GUJARAT,Gujarat,"196,244"
HARYANA,Haryana,"44,212"
HIMACHAL PRADESH,Himachal Pradesh,"55,673"
JAMMU AND KASHMIR,Jammu and Kashmir,"222,236"
JHARKHAND,Jharkhand,"79,714"
KARNATAKA,Karnataka,"191,791"
KERALA,Kerala,"38,863"
LAKSHADWEEP,Lakshadweep,32
MADHYA PRADESH,Madhya Pradesh,"308,245"
MAHARASHTRA,Maharashtra,"307,713"
MANIPUR,Manipur,"22,327"
MEGHALAYA,Meghalaya,"22,429"
MIZORAM,Mizoram,"21,081"
NAGALAND,Nagaland,"16,579"
ODISHA,Odisha,"155,707"
PUDUCHERRY,Puducherry,479
PUNJAB,Punjab,"50,362"
RAJASTHAN,Rajasthan,"342,239"
SIKKIM,Sikkim,"7,096"
TAMIL NADU,Tamil Nadu,"130,058"
TELANGANA,Telangana,"112,077"
TRIPURA,Tripura,"10,491"
UTTAR PRADESH,Uttar Pradesh,"240,928"
UTTARAKHAND,Uttarakhand,"53,483"
WEST BENGAL,West Bengal,"88,752"
