STATE/UT,State_drop,2011 Literacy Rate (%)
A & N ISLANDS,A & N ISLANDS,86.27
ANDHRA PRADESH,ANDHRA PRADESH,67.66
ARUNACHAL PRADESH,ARUNACHAL PRADESH,66.95
ASSAM,ASSAM,72.19
CHANDIGARH,CHANDIGARH,63.82
CHANDIGARH,Chandigarh,86.05
CHHATTISGARH,Chhattisgarh,70.28
D & N HAVELI,D & N HAVELI,77.65
DELHI,Delhi,86.34
GOA,Goa,88.7
GUJARAT,Gujarat,79.31
HARYANA,Haryana,76.64
HIMACHAL PRADESH,Himachal Pradesh,82.8
JAMMU AND KASHMIR,Jammu and Kashmir,68.74
JHARKHAND,Jharkhand,66.41
KARNATAKA,Karnataka,75.6
KERALA,Kerala,93.91
LAKSHADWEEP,Lakshadweep,92.28
MADHYA PRADESH,Madhya Pradesh,70.63
MAHARASHTRA,Maharashtra,82.34
MANIPUR,Manipur,79.85
MEGHALAYA,Meghalaya,74.43
MIZORAM,Mizoram,91.58
NAGALAND,Nagaland,79.55
ODISHA,Odisha,72.87
PUDUCHERRY,Puducherry,86.55
PUNJAB,Punjab,75.84
RAJASTHAN,Rajasthan,66.11
SIKKIM,Sikkim,82.2
TAMIL NADU,Tamil Nadu,80.33
TRIPURA,Tripura,87.75
UTTAR PRADESH,Uttar Pradesh,69.72
UTTARAKHAND,Uttarakhand,78.82
WEST BENGAL,West Bengal,77.08
