STATE/UT,State_drop,Population
A & N ISLANDS,A & N ISLANDS,"380,581"
ANDHRA PRADESH,Andhra Pradesh,"84,580,777"
ARUNACHAL PRADESH,Arunachal Pradesh,"1,383,727"
ASSAM,Assam,"31,169,272"
BIHAR,Bihar,"104,099,452"
CHANDIGARH,Chandigarh,"1,055,450"
CHHATTISGARH,Chhattisgarh,"25,545,198"
D & N HAVELI,D & N HAVELI,"343,709"
DELHI ,Delhi ,"16,787,941"
GOA ,Goa ,"1,457,723"
GUJARAT ,Gujarat ,"60,439,692"
HARYANA ,Haryana ,"25,351,462"
HIMACHAL PRADESH ,Himachal Pradesh ,"6,856,509"
JAMMU AND KASHMIR ,Jammu and Kashmir ,"12,548,926"
JHARKHAND,Jharkhand,"32,988,134"
KARNATAKA,Karnataka,"61,095,297"
KERALA,Kerala,"33,387,677"
LAKSHADWEEP,Lakshadweep,"64,429"
MADHYA PRADESH,Madhya Pradesh,"72,626,809"
MAHARASHTRA,Maharashtra,"112,372,972"
MANIPUR,Manipur,"2,721,756"
MEGHALAYA,Meghalaya,"2,964,007"
MIZORAM,Mizoram,"1,097,206"
NAGALAND,Nagaland,"1,978,502"
ODISHA,Odisha,"41,974,218"
PUDUCHERRY,Puducherry,"1,244,464"
PUNJAB,Punjab,"27,704,236"
RAJASTHAN,Rajasthan,"68,548,437"
SIKKIM,Sikkim,"607,688"
TAMIL NADU,Tamil Nadu,"72,147,030"
TRIPURA,Tripura,"3,673,917"
UTTAR PRADESH,Uttar Pradesh,"199,812,341"
UTTARAKHAND,Uttarakhand,"10,086,292"
WEST BENGAL,West Bengal,"91,276,115"
