,state/ut,district,year,Sum_of_rape_and_kidnap
0,MADHYA PRADESH,BETUL,2010,38
1,MADHYA PRADESH,BETUL,2003,34
2,MADHYA PRADESH,BETUL,2006,33
3,MADHYA PRADESH,BETUL,2005,30
4,CHHATTISGARH,JAGDALPUR,2003,28
5,MADHYA PRADESH,BETUL,2007,27
6,MADHYA PRADESH,BETUL,2002,26
7,MADHYA PRADESH,BETUL,2008,26
8,MADHYA PRADESH,BETUL,2009,26
9,MADHYA PRADESH,BETUL,2011,25
10,MADHYA PRADESH,BETUL,2012,25
11,CHHATTISGARH,JAGDALPUR,2004,22
12,CHHATTISGARH,JAGDALPUR,2002,18
13,CHHATTISGARH,JAGDALPUR,2011,17
14,NAGALAND,KOHIMA,2006,16
15,CHHATTISGARH,JAGDALPUR,2010,16
16,CHHATTISGARH,JAGDALPUR,2006,16
17,RAJASTHAN,BARAN,2011,16
18,CHHATTISGARH,BALRAMPUR,2007,15
19,CHHATTISGARH,BALRAMPUR,2012,14
20,CHHATTISGARH,JAGDALPUR,2005,14
21,ASSAM,SONITPUR,2008,13
22,ANDHRA PRADESH,KHAMMAM,2011,12
23,ANDHRA PRADESH,WARANGAL,2008,12
24,CHHATTISGARH,BALRAMPUR,2009,12
25,ASSAM,SONITPUR,2007,11
26,ODISHA,MAYURBHANJ,2007,11
27,ANDHRA PRADESH,KHAMMAM,2007,11
28,KERALA,WAYANADU,2005,11
29,KERALA,WAYANADU,2009,10
30,KERALA,WAYANADU,2001,10
31,MAHARASHTRA,YAVATMAL,2005,9
32,ANDHRA PRADESH,KHAMMAM,2002,9
33,ODISHA,MAYURBHANJ,2001,9
34,MAHARASHTRA,YAVATMAL,2003,9
35,RAJASTHAN,UDAIPUR,2010,9
36,ANDHRA PRADESH,KHAMMAM,2009,9
37,RAJASTHAN,BARAN,2008,8
38,ANDHRA PRADESH,WARANGAL,2003,8
39,ARUNACHAL PRADESH,SIANG EAST,2003,8
40,RAJASTHAN,UDAIPUR,2009,8
41,RAJASTHAN,UDAIPUR,2012,8
42,RAJASTHAN,BARAN,2001,8
43,KERALA,WAYANADU,2004,8
44,ODISHA,MAYURBHANJ,2011,8
45,MAHARASHTRA,YAVATMAL,2012,8
46,MAHARASHTRA,YAVATMAL,2006,7
47,TRIPURA,SOUTH,2011,7
48,TRIPURA,SOUTH,2006,7
49,MAHARASHTRA,YAVATMAL,2002,7
50,KERALA,WAYANADU,2008,7
51,NAGALAND,KOHIMA,2001,7
52,BIHAR,JAMUI,2007,7
53,KERALA,WAYANADU,2006,6
54,MAHARASHTRA,YAVATMAL,2010,6
55,NAGALAND,KOHIMA,2002,6
56,ANDHRA PRADESH,KHAMMAM,2010,6
57,MAHARASHTRA,YAVATMAL,2007,6
58,ODISHA,MAYURBHANJ,2006,6
59,GUJARAT,SURAT RURAL,2006,5
60,KERALA,WAYANADU,2010,5
61,ANDHRA PRADESH,WARANGAL,2001,5
62,NAGALAND,KOHIMA,2003,5
63,TRIPURA,SOUTH,2009,5
64,GUJARAT,SURAT RURAL,2002,4
65,RAJASTHAN,BARAN,2005,4
66,KERALA,WAYANADU,2003,4
67,TRIPURA,SOUTH,2007,4
68,GUJARAT,SURAT RURAL,2004,4
69,D & N HAVELI,D and N HAVELI,2008,4
70,ODISHA,MAYURBHANJ,2002,4
71,KERALA,WAYANADU,2007,4
72,ARUNACHAL PRADESH,SIANG EAST,2005,3
73,TRIPURA,SOUTH,2010,3
74,ARUNACHAL PRADESH,SIANG EAST,2001,3
75,TAMIL NADU,VILLUPURAM,2007,3
76,TAMIL NADU,VILLUPURAM,2011,3
77,SIKKIM,EAST,2002,3
78,SIKKIM,EAST,2007,3
79,D & N HAVELI,D and N HAVELI,2007,2
80,TRIPURA,SOUTH,2008,2
81,ARUNACHAL PRADESH,SIANG EAST,2006,2
82,TAMIL NADU,VILLUPURAM,2003,2
83,KARNATAKA,KODAGU,2012,2
84,KARNATAKA,KODAGU,2010,2
85,MEGHALAYA,GARO HILLS SOUTH,2002,2
86,ARUNACHAL PRADESH,SIANG EAST,2010,2
87,TAMIL NADU,VILLUPURAM,2008,2
88,SIKKIM,EAST,2008,2
89,TAMIL NADU,VILLUPURAM,2012,2
90,SIKKIM,EAST,2005,2
91,A & N ISLANDS,ANDAMAN,2003,1
92,A & N ISLANDS,ANDAMAN,2005,1
93,A & N ISLANDS,ANDAMAN,2011,1
94,ARUNACHAL PRADESH,SIANG EAST,2008,1
95,ASSAM,SONITPUR,2009,1
96,BIHAR,JAMUI,2009,1
97,BIHAR,JAMUI,2010,1
98,BIHAR,JAMUI,2011,1
99,D & N HAVELI,D and N HAVELI,2004,1
